P99
49.5
49.9
48.9
49.1
49.4
49.3
50.5
50.1
49.6
49.7
50.1
50.4
50.2
49.7
49.8
50.1
50.5
51.1
50.2
50.0
50.8
50.9
50.7
50.6
51.0
51.7
51.6
51.8
52.5
52.8
54.1
53.5
54.0
54.9
55.9
56.6
57.4
57.2
58.7
58.4
59.0
58.8
