Concurrency,QPS,P50,P99
1,238.42,4.2,5.0
2,502.62,4.0,5.2
3,762.16,3.9,5.2
6,1503.51,4.0,5.6
9,2164.30,4.1,6.0
12,2764.03,4.3,6.4
15,3340.12,4.4,7.0
18,3735.60,4.7,8.3
21,4037.74,5.0,9.6
24,4213.85,5.3,11.3
27,4302.99,5.8,13.4
30,4472.08,6.1,14.6
33,4519.42,6.6,16.7
36,4576.02,7.0,17.9
39,4562.16,7.5,19.9
42,4557.04,8.1,22.6
45,4674.97,8.5,23.4
48,4688.33,9.0,25.5
51,4714.18,9.5,27.8
54,4619.21,10.0,31.3
57,4643.80,10.8,32.3
60,4701.56,10.9,35.2
63,4726.43,11.3,37.6
66,4745.50,12.3,37.1
69,4699.10,12.8,42.2
72,4622.37,12.3,47.5
75,4756.34,13.3,46.8
78,4772.04,14.5,44.4
81,4771.01,14.9,48.1
84,4688.22,13.9,55.9
87,4780.68,15.2,53.7
90,4847.10,16.2,52.1
93,4860.36,16.3,55.8
96,4862.04,17.5,54.8
99,4826.71,18.2,57.5
102,4823.99,19.0,57.7
105,4855.31,18.3,63.1
108,4876.29,19.0,62.6
111,4835.34,19.6,66.9
114,4843.95,20.9,64.6
117,4806.84,20.5,74.4
120,4823.41,20.1,77.1
